Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, Fibonacci, -1, 822.714843750000000000, 681.229919433593750000,  ,  , 41003, 45.3, 9760
Haskell, Fibonacci, -1, 812.778808593750000000, 676.601745605468750000,  ,  , 40473, 46.6, 9760
Haskell, Fibonacci, -1, 816.180847167968750000, 678.772644042968750000,  ,  , 40577, 46.7, 9600
Haskell, Fibonacci, -1, 816.668029785156250000, 678.581848144531250000,  ,  , 40603, 47.7, 10080
Haskell, Fibonacci, -1, 815.514587402343750000, 673.696838378906250000,  ,  , 40573, 48.0, 9920
Haskell, Fibonacci, -1, 814.963012695312500000, 676.297424316406250000,  ,  , 40584, 49.2, 9920
Haskell, Fibonacci, -1, 818.966064453125000000, 680.382751464843750000,  ,  , 40724, 49.2, 9760
Haskell, Fibonacci, -1, 820.563842773437500000, 681.755554199218750000,  ,  , 40692, 49.8, 9760
Haskell, Fibonacci, -1, 842.052429199218750000, 697.344665527343750000,  ,  , 41225, 50.1, 9600
Haskell, Fibonacci, -1, 828.483581542968750000, 688.047485351562500000,  ,  , 40603, 50.0, 9920
Haskell, Fibonacci, 2, 1462.511718750000000000, 51.602600097656250000,  ,  , 432654, 31.2, 9920
Haskell, Fibonacci, 2, 1442.030029296875000000, 41.878723144531250000,  ,  , 432663, 30.1, 9600
Haskell, Fibonacci, 2, 1436.686157226562500000, 43.174804687500000000,  ,  , 432325, 30.1, 9600
Haskell, Fibonacci, 2, 1443.067626953125000000, 43.674316406250000000,  ,  , 432545, 30.2, 9600
Haskell, Fibonacci, 2, 1434.610595703125000000, 41.387451171875000000,  ,  , 432504, 29.4, 9440
Haskell, Fibonacci, 2, 1441.418090820312500000, 44.195007324218750000,  ,  , 432834, 30.1, 9760
Haskell, Fibonacci, 2, 1439.321960449218750000, 46.798217773437500000,  ,  , 432938, 29.1, 9440
Haskell, Fibonacci, 2, 1423.962402343750000000, 37.759094238281250000,  ,  , 432363, 28.4, 9760
Haskell, Fibonacci, 2, 1453.784729003906250000, 54.649902343750000000,  ,  , 432873, 28.9, 9920
Haskell, Fibonacci, 2, 1434.723937988281250000, 41.008239746093750000,  ,  , 432324, 28.5, 9600
Haskell, Fibonacci, 3, 1421.799987792968750000, 40.594055175781250000,  ,  , 432792, 25.8, 9760
Haskell, Fibonacci, 3, 1414.227844238281250000, 39.759826660156250000,  ,  , 432784, 25.9, 9600
Haskell, Fibonacci, 3, 1415.666992187500000000, 42.034301757812500000,  ,  , 432476, 26.4, 9600
Haskell, Fibonacci, 3, 1414.954162597656250000, 41.029113769531250000,  ,  , 432474, 26.5, 9760
Haskell, Fibonacci, 3, 1424.388244628906250000, 45.454406738281250000,  ,  , 432453, 25.9, 9600
Haskell, Fibonacci, 3, 1412.924804687500000000, 40.123474121093750000,  ,  , 432834, 26.2, 9440
Haskell, Fibonacci, 3, 1414.442565917968750000, 39.997192382812500000,  ,  , 432545, 26.2, 9600
Haskell, Fibonacci, 3, 1412.097595214843750000, 40.631958007812500000,  ,  , 432374, 26.1, 9760
Haskell, Fibonacci, 3, 1409.742065429687500000, 38.213867187500000000,  ,  , 432784, 25.5, 9760
Haskell, Fibonacci, 3, 1407.827453613281250000, 36.525634765625000000,  ,  , 432336, 25.9, 9760
Haskell, Fibonacci, 4, 571.608276367187500000, 123.465881347656250000,  ,  , 142354, 26.0, 9440
Haskell, Fibonacci, 4, 620.562805175781250000, 123.955993652343750000,  ,  , 154681, 26.5, 9760
Haskell, Fibonacci, 4, 568.061889648437500000, 124.163696289062500000,  ,  , 141399, 26.2, 9760
Haskell, Fibonacci, 4, 571.386230468750000000, 124.091552734375000000,  ,  , 142293, 26.1, 9920
Haskell, Fibonacci, 4, 572.056396484375000000, 123.729370117187500000,  ,  , 142431, 26.3, 9600
Haskell, Fibonacci, 4, 569.551147460937500000, 123.996459960937500000,  ,  , 141840, 26.4, 9760
Haskell, Fibonacci, 4, 575.192382812500000000, 123.121582031250000000,  ,  , 143342, 26.2, 9920
Haskell, Fibonacci, 4, 570.393310546875000000, 123.191040039062500000,  ,  , 141980, 26.6, 9920
Haskell, Fibonacci, 4, 580.567810058593750000, 124.335449218750000000,  ,  , 144579, 26.5, 9280
Haskell, Fibonacci, 4, 570.352172851562500000, 125.136962890625000000,  ,  , 141893, 26.6, 9600
Haskell, Fibonacci, 5, 490.988647460937500000, 181.829223632812500000,  ,  , 97971, 27.5, 9760
Haskell, Fibonacci, 5, 490.804443359375000000, 179.927185058593750000,  ,  , 97887, 27.9, 9920
Haskell, Fibonacci, 5, 485.265563964843750000, 180.306884765625000000,  ,  , 96697, 27.9, 9760
Haskell, Fibonacci, 5, 486.634033203125000000, 180.424743652343750000,  ,  , 97176, 28.3, 9760
Haskell, Fibonacci, 5, 487.909057617187500000, 179.343017578125000000,  ,  , 97338, 28.1, 9600
Haskell, Fibonacci, 5, 488.524169921875000000, 180.557006835937500000,  ,  , 97367, 28.1, 9920
Haskell, Fibonacci, 5, 488.566772460937500000, 180.817810058593750000,  ,  , 97356, 29.0, 9760
Haskell, Fibonacci, 5, 486.026123046875000000, 178.304565429687500000,  ,  , 97419, 28.9, 9600
Haskell, Fibonacci, 5, 487.150085449218750000, 179.846008300781250000,  ,  , 97019, 29.1, 10080
Haskell, Fibonacci, 5, 486.615905761718750000, 179.773620605468750000,  ,  , 97316, 28.7, 9920
Haskell, Fibonacci, 6, 463.063415527343750000, 221.301574707031250000,  ,  , 76919, 28.0, 9600
Haskell, Fibonacci, 6, 466.164855957031250000, 221.684020996093750000,  ,  , 77455, 28.5, 9440
Haskell, Fibonacci, 6, 466.445495605468750000, 222.735717773437500000,  ,  , 77384, 28.6, 9760
Haskell, Fibonacci, 6, 464.437377929687500000, 220.622497558593750000,  ,  , 77184, 28.9, 9920
Haskell, Fibonacci, 6, 465.021423339843750000, 221.132446289062500000,  ,  , 77151, 29.3, 9600
Haskell, Fibonacci, 6, 468.545104980468750000, 219.993591308593750000,  ,  , 77785, 28.9, 9920
Haskell, Fibonacci, 6, 470.190124511718750000, 221.080383300781250000,  ,  , 78004, 29.3, 9920
Haskell, Fibonacci, 6, 466.245422363281250000, 221.462951660156250000,  ,  , 77497, 29.7, 9760
Haskell, Fibonacci, 6, 466.604736328125000000, 220.933959960937500000,  ,  , 77464, 30.2, 9760
Haskell, Fibonacci, 6, 464.797912597656250000, 221.035522460937500000,  ,  , 77085, 29.5, 9760
Haskell, Fibonacci, 7, 474.697265625000000000, 258.716247558593750000,  ,  , 67690, 30.8, 9600
Haskell, Fibonacci, 7, 474.741455078125000000, 259.736450195312500000,  ,  , 67614, 31.2, 10080
Haskell, Fibonacci, 7, 475.025329589843750000, 260.113342285156250000,  ,  , 67564, 31.3, 10080
Haskell, Fibonacci, 7, 478.756896972656250000, 257.306945800781250000,  ,  , 68444, 31.8, 9920
Haskell, Fibonacci, 7, 477.018249511718750000, 257.946350097656250000,  ,  , 68004, 31.6, 9920
Haskell, Fibonacci, 7, 476.190002441406250000, 258.192626953125000000,  ,  , 67805, 31.4, 9920
Haskell, Fibonacci, 7, 475.306152343750000000, 259.039062500000000000,  ,  , 67674, 30.5, 9920
Haskell, Fibonacci, 7, 476.110778808593750000, 260.000915527343750000,  ,  , 67716, 32.1, 9600
Haskell, Fibonacci, 7, 473.853820800781250000, 259.788024902343750000,  ,  , 67615, 32.1, 9760
Haskell, Fibonacci, 7, 472.963562011718750000, 260.221557617187500000,  ,  , 67264, 31.5, 9600
Haskell, Fibonacci, 8, 496.264160156250000000, 294.975769042968750000,  ,  , 62150, 33.1, 9600
Haskell, Fibonacci, 8, 497.572387695312500000, 298.459167480468750000,  ,  , 61905, 33.1, 9760
Haskell, Fibonacci, 8, 497.089050292968750000, 298.156372070312500000,  ,  , 61893, 33.3, 10080
Haskell, Fibonacci, 8, 494.736572265625000000, 297.068847656250000000,  ,  , 61664, 33.0, 9920
Haskell, Fibonacci, 8, 495.564514160156250000, 298.812194824218750000,  ,  , 61714, 32.6, 9760
Haskell, Fibonacci, 8, 496.849182128906250000, 297.070556640625000000,  ,  , 62144, 33.5, 10080
Haskell, Fibonacci, 8, 497.535827636718750000, 298.541320800781250000,  ,  , 62054, 33.4, 10080
Haskell, Fibonacci, 8, 495.849731445312500000, 299.368774414062500000,  ,  , 61784, 33.5, 9760
Haskell, Fibonacci, 8, 494.810852050781250000, 297.794311523437500000,  ,  , 61674, 34.1, 9760
Haskell, Fibonacci, 8, 496.921264648437500000, 296.846252441406250000,  ,  , 61965, 33.3, 9760
Haskell, Fibonacci, 9, 512.602111816406250000, 328.510681152343750000,  ,  , 56755, 34.9, 9600
Haskell, Fibonacci, 9, 511.420959472656250000, 328.147460937500000000,  ,  , 56854, 35.1, 9760
Haskell, Fibonacci, 9, 513.612365722656250000, 329.375427246093750000,  ,  , 56863, 34.6, 9760
Haskell, Fibonacci, 9, 510.304931640625000000, 329.604980468750000000,  ,  , 56533, 35.1, 9920
Haskell, Fibonacci, 9, 511.999328613281250000, 330.369140625000000000,  ,  , 56694, 35.3, 10080
Haskell, Fibonacci, 9, 512.975524902343750000, 329.499328613281250000,  ,  , 56785, 35.1, 10080
Haskell, Fibonacci, 9, 511.660949707031250000, 328.106201171875000000,  ,  , 56734, 34.7, 9920
Haskell, Fibonacci, 9, 509.831726074218750000, 329.957519531250000000,  ,  , 56425, 35.5, 9760
Haskell, Fibonacci, 9, 513.237670898437500000, 330.606811523437500000,  ,  , 56814, 35.4, 9760
Haskell, Fibonacci, 9, 512.250305175781250000, 328.538452148437500000,  ,  , 57034, 35.6, 9920
Haskell, Fibonacci, 10, 526.932006835937500000, 356.347412109375000000,  ,  , 52552, 36.9, 9760
Haskell, Fibonacci, 10, 524.230285644531250000, 356.266113281250000000,  ,  , 52434, 36.6, 10080
Haskell, Fibonacci, 10, 524.440246582031250000, 356.543334960937500000,  ,  , 52264, 36.8, 9920
Haskell, Fibonacci, 10, 524.805603027343750000, 356.830810546875000000,  ,  , 52363, 37.5, 10080
Haskell, Fibonacci, 10, 528.763244628906250000, 356.275024414062500000,  ,  , 52644, 37.5, 9760
Haskell, Fibonacci, 10, 525.772521972656250000, 357.036376953125000000,  ,  , 52394, 37.4, 9920
Haskell, Fibonacci, 10, 523.973144531250000000, 356.147827148437500000,  ,  , 52413, 37.4, 10080
Haskell, Fibonacci, 10, 524.887817382812500000, 356.602966308593750000,  ,  , 52324, 37.7, 9920
Haskell, Fibonacci, 10, 526.391296386718750000, 354.839843750000000000,  ,  , 52375, 37.0, 9760
Haskell, Fibonacci, 10, 525.607543945312500000, 354.737854003906250000,  ,  , 52334, 37.4, 9760
Haskell, Fibonacci, 11, 545.474121093750000000, 385.386230468750000000,  ,  , 49412, 37.6, 10080
Haskell, Fibonacci, 11, 544.027343750000000000, 385.483093261718750000,  ,  , 49243, 39.4, 9920
Haskell, Fibonacci, 11, 545.750427246093750000, 383.341796875000000000,  ,  , 49394, 38.4, 10080
Haskell, Fibonacci, 11, 543.693054199218750000, 385.334533691406250000,  ,  , 49303, 39.4, 9760
Haskell, Fibonacci, 11, 543.593688964843750000, 384.006774902343750000,  ,  , 49314, 38.3, 9760
Haskell, Fibonacci, 11, 546.865478515625000000, 384.204711914062500000,  ,  , 49723, 39.0, 9760
Haskell, Fibonacci, 11, 545.957397460937500000, 383.622741699218750000,  ,  , 49493, 38.9, 9760
Haskell, Fibonacci, 11, 546.579772949218750000, 383.283996582031250000,  ,  , 49574, 39.4, 9600
Haskell, Fibonacci, 11, 545.344543457031250000, 382.343505859375000000,  ,  , 49414, 39.0, 9760
Haskell, Fibonacci, 11, 545.188476562500000000, 384.944824218750000000,  ,  , 49364, 40.4, 10080
Haskell, Fibonacci, 12, 566.855407714843750000, 413.156799316406250000,  ,  , 47063, 40.4, 9920
Haskell, Fibonacci, 12, 568.576354980468750000, 414.168395996093750000,  ,  , 47163, 40.9, 9760
Haskell, Fibonacci, 12, 566.079406738281250000, 412.062805175781250000,  ,  , 47033, 41.6, 9760
Haskell, Fibonacci, 12, 567.790344238281250000, 413.571350097656250000,  ,  , 47103, 40.9, 9760
Haskell, Fibonacci, 12, 566.242248535156250000, 412.384704589843750000,  ,  , 47134, 42.0, 9920
Haskell, Fibonacci, 12, 569.505493164062500000, 412.284912109375000000,  ,  , 47223, 40.9, 9920
Haskell, Fibonacci, 12, 566.596740722656250000, 412.052734375000000000,  ,  , 47063, 41.2, 9920
Haskell, Fibonacci, 12, 570.090087890625000000, 412.154907226562500000,  ,  , 47277, 42.2, 9760
Haskell, Fibonacci, 12, 568.648254394531250000, 411.621093750000000000,  ,  , 47163, 42.0, 9760
Haskell, Fibonacci, 12, 567.533203125000000000, 412.642883300781250000,  ,  , 47103, 41.7, 9920
Haskell, Fibonacci, 13, 593.825073242187500000, 440.583374023437500000,  ,  , 45523, 42.6, 9600
Haskell, Fibonacci, 13, 594.636840820312500000, 441.427062988281250000,  ,  , 45573, 43.4, 9760
Haskell, Fibonacci, 13, 592.522338867187500000, 439.869995117187500000,  ,  , 45633, 44.2, 9760
Haskell, Fibonacci, 13, 595.120056152343750000, 440.274230957031250000,  ,  , 45693, 42.8, 9920
Haskell, Fibonacci, 13, 592.338012695312500000, 441.390686035156250000,  ,  , 45433, 42.8, 9920
Haskell, Fibonacci, 13, 592.963806152343750000, 442.522583007812500000,  ,  , 45423, 44.1, 10080
Haskell, Fibonacci, 13, 594.938049316406250000, 440.994018554687500000,  ,  , 45613, 43.6, 10080
Haskell, Fibonacci, 13, 591.552368164062500000, 442.378723144531250000,  ,  , 45325, 43.2, 9920
Haskell, Fibonacci, 13, 592.843322753906250000, 441.816894531250000000,  ,  , 45544, 44.2, 9920
Haskell, Fibonacci, 13, 592.572387695312500000, 441.905212402343750000,  ,  , 45423, 43.6, 9760
Haskell, Fibonacci, 14, 622.932739257812500000, 474.001525878906250000,  ,  , 44334, 44.9, 9760
Haskell, Fibonacci, 14, 624.328308105468750000, 474.870544433593750000,  ,  , 44404, 44.6, 9920
Haskell, Fibonacci, 14, 623.290222167968750000, 475.539855957031250000,  ,  , 44343, 43.6, 9920
Haskell, Fibonacci, 14, 622.586669921875000000, 472.811462402343750000,  ,  , 44334, 44.8, 9920
Haskell, Fibonacci, 14, 622.217041015625000000, 474.862548828125000000,  ,  , 44373, 45.7, 9760
Haskell, Fibonacci, 14, 623.595642089843750000, 473.353820800781250000,  ,  , 44473, 45.0, 9600
Haskell, Fibonacci, 14, 623.290344238281250000, 476.349548339843750000,  ,  , 44383, 44.9, 9920
Haskell, Fibonacci, 14, 622.941772460937500000, 475.798217773437500000,  ,  , 44294, 45.5, 9920
Haskell, Fibonacci, 14, 623.904296875000000000, 475.075317382812500000,  ,  , 44383, 46.0, 9760
Haskell, Fibonacci, 14, 623.781860351562500000, 476.767700195312500000,  ,  , 44343, 44.9, 9760
Haskell, Fibonacci, 15, 655.621948242187500000, 509.862670898437500000,  ,  , 43583, 47.1, 9600
Haskell, Fibonacci, 15, 658.878662109375000000, 512.297424316406250000,  ,  , 43753, 46.6, 9920
Haskell, Fibonacci, 15, 656.858337402343750000, 511.680603027343750000,  ,  , 43593, 46.6, 9920
Haskell, Fibonacci, 15, 657.355957031250000000, 508.546569824218750000,  ,  , 43633, 46.1, 9760
Haskell, Fibonacci, 15, 656.631530761718750000, 511.516845703125000000,  ,  , 43593, 47.6, 9760
Haskell, Fibonacci, 15, 657.742187500000000000, 512.211364746093750000,  ,  , 43683, 47.3, 9920
Haskell, Fibonacci, 15, 655.396362304687500000, 510.619995117187500000,  ,  , 43644, 48.1, 9760
Haskell, Fibonacci, 15, 656.855529785156250000, 509.664245605468750000,  ,  , 43694, 46.1, 9760
Haskell, Fibonacci, 15, 656.945373535156250000, 511.647521972656250000,  ,  , 43633, 47.6, 9760
Haskell, Fibonacci, 15, 657.562988281250000000, 510.896789550781250000,  ,  , 43743, 47.4, 9600
Haskell, Fibonacci, 16, 686.452941894531250000, 543.166931152343750000,  ,  , 42951, 48.9, 9760
Haskell, Fibonacci, 16, 688.399719238281250000, 545.829650878906250000,  ,  , 42873, 48.1, 9760
Haskell, Fibonacci, 16, 688.274597167968750000, 544.766906738281250000,  ,  , 42884, 48.1, 9760
Haskell, Fibonacci, 16, 689.124816894531250000, 543.507141113281250000,  ,  , 42953, 48.5, 9760
Haskell, Fibonacci, 16, 689.790222167968750000, 545.287841796875000000,  ,  , 42974, 48.5, 9760
Haskell, Fibonacci, 16, 688.406677246093750000, 544.472900390625000000,  ,  , 42973, 48.5, 9600
Haskell, Fibonacci, 16, 688.633544921875000000, 545.789184570312500000,  ,  , 42894, 48.1, 10080
Haskell, Fibonacci, 16, 689.072937011718750000, 542.887268066406250000,  ,  , 42945, 49.3, 9760
Haskell, Fibonacci, 16, 688.824768066406250000, 544.365661621093750000,  ,  , 42883, 48.1, 9920
