Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, Fibonacci, -1, 93.716796875000000000, 80.272766113281250000,  ,  , 3828, 50.7, 3200
Haskell, Fibonacci, -1, 93.531005859375000000, 79.557250976562500000,  ,  , 3894, 50.9, 3200
Haskell, Fibonacci, -1, 92.070983886718750000, 77.681091308593750000,  ,  , 3953, 50.5, 3040
Haskell, Fibonacci, -1, 91.621704101562500000, 77.641113281250000000,  ,  , 3961, 50.5, 3200
Haskell, Fibonacci, -1, 92.381713867187500000, 78.317138671875000000,  ,  , 3968, 50.8, 3200
Haskell, Fibonacci, -1, 92.182006835937500000, 78.347290039062500000,  ,  , 3884, 50.3, 3200
Haskell, Fibonacci, -1, 93.689758300781250000, 79.927246093750000000,  ,  , 3835, 50.4, 3200
Haskell, Fibonacci, -1, 93.198852539062500000, 79.832153320312500000,  ,  , 3828, 50.5, 3200
Haskell, Fibonacci, -1, 92.579711914062500000, 78.416870117187500000,  ,  , 3977, 52.1, 3200
Haskell, Fibonacci, -1, 93.770263671875000000, 78.971862792968750000,  ,  , 3898, 50.6, 3200
